Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Duration,Order IDs
2024-08-06T16:00:00Z,"QQQ   240823C00449000",2024-08-07T17:42:00Z,Sell,9.77,7.25,4,1008,5.2,-436,1058,1230,1,"1.01:42:00","493;505"
2024-08-06T16:00:00Z,"QQQ   240823C00453000",2024-08-07T17:42:00Z,Buy,7.9,5.5,4,-960,5.2,-970,286,1256,0,"1.01:42:00","492;506"
2024-08-07T17:46:00Z,"QQQ   240809P00439000",2024-08-07T19:24:00Z,Buy,4.76,5.97,4,484,5.2,0,1004,804,1,"01:38:00","507;510"
2024-08-07T16:15:00Z,"QQQ   240816C00453000",2024-08-08T19:46:00Z,Sell,4.68,5.55,3,-261,3.9,-480,663,1143,0,"1.03:31:00","501;517"
2024-08-07T16:15:00Z,"QQQ   240816C00457000",2024-08-08T19:46:00Z,Buy,3.25,3.8,3,165,3.9,-486,358.5,537,1,"1.03:31:00","500;518"
2024-08-09T14:00:00Z,"QQQ   240830C00459000",2024-08-12T13:31:00Z,Sell,6.54,7.51,3,-291,3.9,-454.5,99,553.5,0,"2.23:31:00","520;527"
2024-08-09T14:00:00Z,"QQQ   240830C00463000",2024-08-12T13:31:00Z,Buy,5.12,5.63,3,153,3.9,-120,340.5,351,1,"2.23:31:00","519;528"
2024-08-16T16:30:00Z,"QQQ   240913C00482000",2024-08-16T19:46:00Z,Buy,7.28,6.81,15,-705,19.5,-705,562.5,1267.5,0,"03:16:00","532;534"
2024-08-16T16:30:00Z,"QQQ   240913C00490000",2024-08-16T19:46:00Z,Sell,4.11,3.86,15,375,19.5,-390,375,427.5,1,"03:16:00","533;535"
2024-08-16T14:31:00Z,"QQQ   240906C00460000",2024-08-19T17:04:00Z,Buy,19.28,21.14,3,558,3.9,-378,594,768,1,"3.02:33:00","529;538"
2024-08-20T14:31:00Z,"QQQ   240906C00467000",2024-08-21T14:49:00Z,Buy,18.09,20.08,3,597,3.9,-435,910.5,528,1,"1.00:18:00","539;550"
2024-08-21T15:01:00Z,"QQQ   240906C00465000",2024-08-21T18:27:00Z,Buy,20.28,21.53,3,375,3.9,-370.5,477,607.5,1,"03:26:00","552;557"
2024-08-22T15:46:00Z,"QQQ   240823P00476000",2024-08-22T15:48:00Z,Buy,2.86,2.54,8,-256,10.4,-280,0,280,0,"00:02:00","561;566"
2024-08-22T14:31:00Z,"QQQ   240906C00470000",2024-08-22T15:48:00Z,Buy,17.55,13.9,4,-1460,5.2,-1594,0,1594,0,"01:17:00","558;567"
2024-08-22T16:01:00Z,"QQQ   240823P00477000",2024-08-22T16:17:00Z,Buy,2.88,2.5,7,-266,9.1,-364,0,364,0,"00:16:00","568;575"
2024-08-22T16:16:00Z,"QQQ   240823P00477500",2024-08-22T16:18:00Z,Buy,2.67,2.64,8,-24,10.4,-32,0,32,0,"00:02:00","572;578"
2024-08-22T16:01:00Z,"QQQ   240906C00465000",2024-08-22T16:18:00Z,Buy,17.81,18.21,3,120,3.9,-45,189,73.5,1,"00:17:00","569;579"
2024-08-22T17:01:00Z,"QQQ   240823P00477000",2024-08-22T17:03:00Z,Buy,2.86,2.85,7,-7,9.1,-7,91,98,0,"00:02:00","583;588"
2024-08-22T16:31:00Z,"QQQ   240906C00465000",2024-08-22T17:03:00Z,Buy,19.64,17.64,3,-600,3.9,-634.5,45,679.5,0,"00:32:00","580;589"
2024-08-22T17:16:00Z,"QQQ   240823P00477000",2024-08-22T17:18:00Z,Buy,2.94,2.78,7,-112,9.1,-178.5,0,178.5,0,"00:02:00","590;595"
2024-08-22T17:46:00Z,"QQQ   240823P00476000",2024-08-22T17:48:00Z,Buy,2.79,2.91,8,96,10.4,0,132,36,1,"00:02:00","596;601"
2024-08-22T18:11:00Z,"QQQ   240823P00475000",2024-08-22T18:13:00Z,Buy,2.75,2.74,8,-8,10.4,-16,128,136,0,"00:02:00","602;607"
2024-08-23T14:31:00Z,"QQQ   240826C00479000",2024-08-23T14:33:00Z,Buy,4.97,4.74,3,-69,3.9,-187.5,0,187.5,0,"00:02:00","608;613"
2024-08-26T14:46:00Z,"QQQ   240827P00473000",2024-08-26T14:48:00Z,Buy,2.1,1.99,10,-110,13,-260,0,260,0,"00:02:00","617;622"
2024-08-26T14:31:00Z,"QQQ   240913C00462500",2024-08-26T14:48:00Z,Buy,18.77,17.56,3,-363,3.9,-555,0,555,0,"00:17:00","614;623"
2024-08-26T16:01:00Z,"QQQ   240827P00474000",2024-08-26T16:03:00Z,Buy,2.29,2.32,9,27,11.7,-81,36,117,1,"00:02:00","627;632"
2024-08-26T15:01:00Z,"QQQ   240913C00462500",2024-08-26T16:03:00Z,Buy,18.52,17.55,3,-291,3.9,-291,123,414,0,"01:02:00","624;633"
2024-08-26T16:31:00Z,"QQQ   240913C00462500",2024-08-26T18:13:00Z,Buy,18.7,16.97,3,-519,3.9,-532.5,94.5,627,0,"01:42:00","634;643"
2024-08-26T18:11:00Z,"QQQ   240828P00473000",2024-08-26T19:15:00Z,Buy,3.73,2.66,5,-535,6.5,-592.5,15,607.5,0,"01:04:00","637;644"
2024-08-28T15:16:00Z,"QQQ   240829P00469000",2024-08-28T15:18:00Z,Buy,3.81,3.72,5,-45,6.5,-45,65,110,0,"00:02:00","648;653"
2024-08-27T14:31:00Z,"QQQ   240913C00462000",2024-08-28T15:18:00Z,Buy,19.28,14.35,3,-1479,3.9,-1546.5,267,1813.5,0,"1.00:47:00","645;654"
2024-08-28T15:37:00Z,"QQQ   240829P00469000",2024-08-28T15:39:00Z,Buy,3.57,3.55,6,-12,7.8,-30,0,30,0,"00:02:00","655;660"
2024-08-28T16:01:00Z,"QQQ   240829P00470000",2024-08-28T16:03:00Z,Buy,3.66,3.56,5,-50,6.5,-65,0,65,0,"00:02:00","661;666"
2024-08-28T16:31:00Z,"QQQ   240829P00469000",2024-08-28T17:54:00Z,Buy,3.62,3.65,5,15,6.5,-390,80,412.5,1,"01:23:00","667;672"
2024-08-28T18:26:00Z,"QQQ   240830P00467500",2024-08-28T18:28:00Z,Buy,4.36,4.3,4,-24,5.2,-24,8,32,0,"00:02:00","673;678"
2024-08-28T18:56:00Z,"QQQ   240830P00469000",2024-08-28T18:59:00Z,Buy,4.45,4.28,4,-68,5.2,-140,0,140,0,"00:03:00","679;682"
2024-09-03T14:46:00Z,"QQQ   240904P00466000",2024-09-03T14:48:00Z,Buy,2.4,2.62,9,198,11.7,0,225,27,1,"00:02:00","683;688"
2024-09-03T15:16:00Z,"QQQ   240904P00466000",2024-09-03T15:18:00Z,Buy,2.34,2.33,9,-9,11.7,-36,117,126,0,"00:02:00","689;694"
2024-09-03T15:46:00Z,"QQQ   240904P00465000",2024-09-03T15:48:00Z,Buy,2.46,2.28,8,-144,10.4,-144,0,144,0,"00:02:00","695;700"
2024-09-03T16:16:00Z,"QQQ   240904P00465000",2024-09-03T16:19:00Z,Buy,2.22,2.02,9,-180,11.7,-216,0,216,0,"00:03:00","701;706"
2024-09-03T16:46:00Z,"QQQ   240904P00465000",2024-09-03T16:48:00Z,Buy,2.47,2.56,8,72,10.4,0,88,32,1,"00:02:00","707;712"
2024-09-03T17:16:00Z,"QQQ   240905P00464000",2024-09-03T17:19:00Z,Buy,3.21,3.14,6,-42,7.8,-66,0,66,0,"00:03:00","713;718"
2024-09-06T14:01:00Z,"QQQ   240909P00455000",2024-09-06T14:41:00Z,Buy,3.27,5.23,6,1176,7.8,-222,1257,264,1,"00:40:00","730;734"
2024-09-05T15:16:00Z,"QQQ   240920P00474780",2024-09-06T14:43:00Z,Buy,16.32,23.66,3,2202,3.9,-547.5,2277,1113,1,"23:27:00","723;725"
2024-09-06T14:46:00Z,"QQQ   240909P00450000",2024-09-06T15:02:00Z,Buy,3.35,2.41,6,-564,11.7,-570,264,834,0,"00:16:00","735;740"
2024-09-06T15:01:00Z,"QQQ   240909P00450000",2024-09-06T15:02:00Z,Buy,3.45,2.41,6,-624,3.9,-630,204,624,0,"00:01:00","739;740"
2024-09-06T15:31:00Z,"QQQ   240909P00449000",2024-09-06T17:24:00Z,Buy,3.15,2.16,7,-693,9.1,-693,336,1029,0,"01:53:00","742;743"
2024-09-04T17:45:00Z,"QQQ   240920C00466000",2024-09-06T17:42:00Z,Sell,7.18,2.35,3,1449,3.9,-355.5,1482,769.5,1,"1.23:57:00","720;745"
2024-09-04T17:45:00Z,"QQQ   240920C00471000",2024-09-06T17:42:00Z,Buy,4.86,1.29,3,-1071,3.9,-1084.5,252,1336.5,0,"1.23:57:00","719;746"
2024-09-06T17:46:00Z,"QQQ   240909P00448000",2024-09-06T19:12:00Z,Buy,2.62,1.83,8,-632,10.4,-632,96,728,0,"01:26:00","747;748"
2024-09-10T16:16:00Z,"QQQ   240911P00452000",2024-09-10T16:41:00Z,Buy,3.03,2.12,7,-637,9.1,-637,0,637,0,"00:25:00","756;757"
2024-09-09T14:00:00Z,"QQQ   240927C00459000",2024-09-10T19:46:00Z,Sell,7.43,9.14,3,-513,3.9,-600,531,1131,0,"1.05:46:00","751;763"
2024-09-09T14:00:00Z,"QQQ   240927C00464000",2024-09-10T19:46:00Z,Buy,5.16,6.43,3,381,3.9,-429,468,507,1,"1.05:46:00","750;764"
2024-09-11T14:16:00Z,"QQQ   240912P00454000",2024-09-11T14:56:00Z,Buy,2.96,4.74,7,1246,9.1,0,1246,315,1,"00:40:00","767;769"
